Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
17302_00053,5545,12.5664,8,46,98,53,175.2,182.975,196.575,1.99964,4384.88,27551.0,13775.5,99.9959,144.43,8,0.859249,55.5714,1,72.0559,56.7069,1.10756
17302_00054,8796,12.5664,8,79,164,86,193.324,194.5,192.775,1.99977,6155.07,38673.5,19336.7,99.9997,155.255,8,0.894649,52.628,1,67.6099,63.9279,1.11758
17302_00055,3984,12.5664,6,30,64,35,170.375,162.75,177.125,1.9995,2980.22,18725.3,9362.65,99.9162,293.511,12,0.86338,61.2344,1,67.9573,81.4745,1.10448
17302_00056,4022,12.5664,3,33,67,35,187.425,187.7,178.5,1.9995,3237.92,20344.4,10172.2,99.9941,529.2,11,0.878124,59.0149,1,70.5129,78.303,1.06388
17302_00057,3987,12.5664,6,37,78,42,195.7,191.1,192.825,1.9995,3569.66,22428.9,11214.4,99.967,428.75,11,0.87361,50.1026,1,84.9606,72.3504,1.0988
17302_00059,2467,12.5664,6,20,44,25,189.3,171.35,179.024,1.99919,2000.84,12571.6,6285.81,99.9278,358.573,8,0.846366,55.0455,1,73.656,78.9198,1.05878
17302_00062,2375,12.5664,6,20,44,25,165.675,164.275,168.1,1.99916,1991.07,12510.3,6255.15,99.8955,157.97,5,0.874891,52.9545,1,63.704,67.316,1.06426
17302_00063,2849,12.5664,3,20,41,22,143.7,109.75,198.125,1.9993,2163.89,13596.1,6798.06,99.9951,331.32,9,0.844502,68.4634,1,56.7186,79.6683,1.06714
17302_00064,4635,12.5664,7,44,93,50,173.475,111.825,190.775,1.99957,3294.99,20703.1,10351.5,99.9613,149.883,8,0.846444,48.828,1,76.4439,64.3175,1.21325
17302_00065,6982,12.5664,5,62,127,66,171.45,94.9502,194.1,1.99971,4401.65,27656.4,13828.2,99.9891,165.837,10,0.854273,53.9685,1,60.2147,60.9257,1.24294
