s_name o_name
18457_00004 13858_11303_2988
18457_00005 13780_11992_3062
18457_00006 12981_11372_3867
18457_00007 14005_10710_3535
18457_00008 13594_11485_3489
18457_00009 11942_10205_5359
18457_00010 11760_11662_5388
18457_00012 11472_12109_5427
18457_00013 11838_11885_5326
18457_00015 14934_11620_3201
18457_00017 10934_11362_5768
18457_00018 11542_11131_5658
18457_00019 11391_10850_5896
18457_00023 11573_11692_5762
18457_00024 11042_11747_5821
18457_00025 11262_11422_5825
18457_00026 11949_11133_5527
18457_00027 11889_11116_5667
18457_00028 12973_11604_5733
18457_00029 13362_12115_5498
18457_00030 24655_9468_3993
18457_00031 23841_9499_3935
18457_00032 24888_9338_3692
18457_00033 25723_9290_3626
18457_00034 26514_10340_3435
18457_00035 24710_11297_2984
18457_00036 25368_10759_3132
18457_00037 24108_11103_3459
18457_00038 24050_11154_3948
18457_00039 25758_11823_3627
18457_00040 26213_11560_3494
18457_00041 24844_9534_4263
18457_00043 26378_9752_4331
18457_00044 26173_9982_4361
18457_00045 25900_11854_5453
18457_00046 26191_11637_5424
18457_00047 26654_11630_5409
18457_00048 27416_11854_5352
18457_00049 25634_11173_5607
18457_00051 25826_11518_5788
18457_00052 25572_11865_5526
18457_00053 25478_11972_5505
18457_00054 25405_11778_5747
18457_00055 26147_10947_5631
18457_00056 26294_11124_5616
18457_00057 26149_11156_5672
18457_00058 26708_11306_5589
18457_00059 27154_11340_5706
18457_00061 26757_10924_5901
18457_00062 27016_11152_5898
18457_00063 27343_11142_5716
18457_00064 26093_11441_5571
18457_00065 27108_11710_5606
18457_00066 26975_11535_5690
18457_00068 26735_11966_5502
18457_00069 27055_11949_5939
18457_00072 27173_12096_5585
18457_00073 27215_11891_5787
18457_00074 27246_11321_6329
18457_00075 27616_11763_6294
18457_00076 8464_14272_4229
18457_00077 9142_14709_4438
18457_00078 9439_15304_4328
18457_00079 8554_15744_4413
18457_00080 8529_16292_4961
18457_00081 15195_13188_2275
18457_00082 13077_13064_3440
18457_00083 11727_12205_5289
18457_00087 13911_13147_4133
18457_00088 12742_12195_5343
18457_00089 11846_12734_5461
18457_00090 12956_12815_5406
18457_00091 13013_12622_5279
18457_00095 12231_13215_5226
18457_00096 12334_12903_5400
18457_00097 12033_13465_5383
18457_00098 12945_13421_5272
18457_00099 12590_13603_5181
18457_00101 13463_13216_5180
18457_00102 11620_14090_5422
18457_00103 14522_12388_3257
18457_00106 14433_13611_3328
18457_00108 16140_14034_3112
18457_00109 14455_13504_5479
18457_00110 15124_13746_4986
18457_00111 14701_14365_4897
18457_00112 15907_14460_5344
18457_00113 9719_16206_4045
18457_00114 9810_15454_4570
18457_00115 16908_15531_3246
18457_00116 12526_19304_3961
18457_00117 10613_12513_5776
18457_00118 11660_12453_5542
18457_00119 11534_12409_5588
18457_00120 10691_12741_5483
18457_00121 10703_12576_5760
18457_00122 10729_12827_5653
18457_00123 10381_12973_5837
18457_00125 10898_13258_5510
18457_00126 11307_12960_5631
18457_00127 10494_12410_6401
18457_00128 12909_12264_5547
18457_00129 12433_12412_5489
18457_00133 22771_14692_2975
18457_00135 21722_13924_5150
18457_00136 22116_14965_5395
18457_00139 28315_13070_3997
18457_00140 24825_13757_3449
18457_00141 27423_14013_3365
18457_00142 26512_13822_3602
18457_00143 25720_12172_5333
18457_00144 25513_13112_5240
18457_00145 25621_13381_5462
18457_00146 26388_12449_5322
18457_00148 26975_12373_5365
18457_00150 26587_12837_5414
18457_00152 26102_13152_5283
18457_00159 25049_13720_5324
18457_00162 26242_13657_5403
18457_00163 26345_13833_5443
18457_00164 26818_13716_5466
18457_00170 22715_15408_3119
18457_00184 24340_20616_3848
18457_00188 22854_14490_5713
18457_00190 26875_12304_5495
18457_00194 27210_12584_5645
18457_00197 27241_12825_5655
18457_00199 27611_12545_5893
18457_00202 27347_13102_5618
18457_00203 27790_13172_5549
18457_00204 24518_13783_5584
18457_00205 25811_14257_5607
18457_00206 27112_13774_5612
18867_2903_x13633_y8787 13641_8782_2878
18867_3469_x10058_y10954 10055_10950_3466
18867_3525_x9958_y10743 9953_10748_3527
18867_3758_x14594_y6944 14594_6937_3747
18867_3807_x9130_y11820 9132_11819_3795
18867_3832_x10338_y8748 10381_8753_3826
18867_3926_x8710_y12751 8715_12755_3925
18867_4052_x9852_y8712 9839_8715_4046
18867_4156_x9348_y9148 9336_9145_4147
18867_4202_x26848_y7080 26849_7081_4195
18867_4216_x9933_y8365 9933_8360_4216
18867_4218_x8269_y11914 8267_11910_4209
18867_4259_x9977_y8313 9976_8314_4254
18867_4296_x31171_y9797 31166_9789_4284
18867_4330_x29413_y7746 29400_7743_4315
18867_4336_x10280_y7972 10273_7966_4324
18867_4392_x7633_y13301 7626_13298_4389
18867_4397_x8352_y9768 8344_9760_4390
18867_4421_x31775_y9812 31772_9808_4416
18867_4457_x7592_y10554 7586_10543_4450
18867_4473_x25161_y6054 25155_6054_4468
18867_4513_x27588_y6824 27588_6822_4506
18867_4605_x30309_y8068 30305_8072_4595
18867_4647_x12409_y6656 12394_6655_4641
18867_4689_x11723_y7039 11705_7036_4674
18867_4768_x26326_y6150 26325_6149_4756
18867_4776_x28359_y6621 28381_6628_4773
18867_4801_x7068_y12938 7071_12934_4800
18867_4817_x16327_y15739 16319_15734_4816
18867_4824_x31628_y8902 31632_8900_4814
18867_4831_x27808_y6496 27815_6492_4827
18867_4874_x16831_y16618 16832_16620_4864
18867_4889_x28329_y6770 28326_6767_4884
18867_4954_x9860_y7599 9859_7593_4948
18867_4957_x30093_y7560 30087_7550_4952
18867_4984_x30860_y8156 30859_8159_4987
18867_5082_x26232_y14941 26239_14936_5078
18867_5169_x12576_y5864 12577_5858_5173
18867_5194_x29530_y6807 29535_6808_5190
18867_5203_x10027_y7237 10041_7237_5202
18867_5287_x32054_y8614 32053_8603_5281
18867_5319_x14289_y4114 14288_4110_5313
18867_5408_x30554_y7318 30551_7312_5396
18867_5486_x20836_y5690 20827_5682_5484
18867_5640_x21236_y5683 21236_5687_5636
18867_5894_x10157_y6463 10157_6458_5894
18867_5942_x29015_y5711 29025_5717_5945
18867_6085_x20833_y6331 20825_6324_6074
18867_6408_x9343_y6158 9361_6167_6419
18867_6413_x20950_y6015 20950_6006_6410
18867_6985_x12525_y4095 12520_4088_6970
18867_6986_x31479_y5932 31468_5933_6988
18867_7123_x11808_y5131 11800_5122_7110
18867_7172_x22280_y4802 22279_4797_7171
18867_7390_x9887_y4961 9665_4975_7388
18867_7541_x13210_y4462 13214_4468_7541
18867_7583_x22567_y18119 22571_18144_7595
18867_7584_x10560_y5816 10560_5814_7576
18867_7790_x21511_y18480 21511_18477_7787
18454_00002 8066_9096_5055
18454_00003 8284_9970_4026
18454_00004 8210_10031_4051
18454_00009 12238_7028_3840
18454_00010 12768_7416_3799
18454_00011 10549_8231_3661
18454_00014 9154_9316_3784
18454_00015 8912_9828_4049
18454_00016 11911_9649_3246
18454_00017 12810_9515_3046
18454_00018 11880_8371_3517
18454_00020 11114_8689_3670
18454_00021 11095_8838_3989
18454_00022 12255_9685_3496
18454_00024 10861_7438_4677
18454_00027 11178_8643_4240
18454_00028 14340_9235_2971
18454_00029 10165_10006_3396
18454_00039 10953_10840_3697
18454_00046 11594_11244_5462
18454_00048 12894_11836_5471
18454_00049 14528_10686_3117
18454_00050 17300_11497_4968
18454_00051 13568_12314_5334
18454_00052 13284_12390_5515
18454_00053 16904_11500_4979
18454_00054 15964_13035_5370
18454_00055 16744_13023_5123
18454_00056 17080_12740_5108
18454_00057 17212_12748_5316
18454_00058 17348_12852_5301
18454_00059 10282_9748_6390
18454_00060 10621_10002_5815
18454_00061 10720_10090_5901
18454_00062 10577_11143_6429
18454_00063 10546_10748_6698
18454_00064 11344_10440_5730
18454_00065 12543_10574_5599
18454_00066 12090_11506_5621
18454_00067 11110_10996_6240
18454_00068 10359_12460_5566
18454_00069 10000_11518_6792
18454_00070 12016_12064_5916
18454_00071 12562_12218_5605
18454_00072 12802_12051_5796
18454_00073 12084_12238_6192
18454_00074 16747_10834_5656
18454_00075 14222_12605_5718
18454_00080 22338_6802_3944
18454_00086 24444_7662_4030
18454_00090 25341_9654_3592
18454_00092 24239_7602_4278
18454_00093 25496_7550_4583
18454_00095 18127_11443_5011
18454_00096 18763_11324_4930
18454_00097 18646_11247_5082
18454_00098 19264_11104_4988
18454_00099 19330_12310_5169
18454_00100 19388_12344_5279
18454_00101 19480_12380_5258
18454_00105 23476_11302_5498
18454_00106 23360_11960_5430
18454_00107 23078_12234_5440
18454_00109 24348_11886_5510
18454_00111 27330_9542_4017
18454_00126 23804_8543_6170
18454_00127 23649_9306_5890
18454_00128 24262_9041_5904
18454_00129 24934_8577_6246
18454_00130 18916_10614_5572
18454_00131 21346_12301_5810
18454_00132 21542_12226_6069
18454_00133 23567_10221_5731
18454_00134 24048_10630_5797
18454_00135 22902_11450_5649
18454_00136 22267_11484_5875
18454_00137 23512_10906_5627
18454_00138 23361_10914_5923
18454_00139 23923_10734_6054
18454_00140 23424_11372_5861
18454_00141 23378_11472_6137
18454_00142 24000_10886_6362
18454_00143 23432_11208_6463
18454_00144 23918_11118_6703
18454_00145 24656_11090_5788
18454_00146 24641_11243_5981
18454_00147 24833_11138_6188
18454_00148 25215_11469_5624
18454_00149 24239_10161_6659
18454_00150 24314_10038_6799
18454_00151 24086_10760_6625
18454_00152 24682_10884_6727
18454_00153 22614_11652_5824
18454_00154 22548_12075_5628
18454_00155 22566_12014_5742
18454_00156 22896_11894_6078
18454_00157 23885_11840_5835
18454_00158 23450_12094_5595
18454_00159 23974_12308_5888
18454_00160 22186_12774_5823
18454_00161 21894_12630_5866
18454_00162 24226_11758_5683
18454_00163 24756_11776_5574
18454_00164 24074_11999_5836
18454_00165 24090_11512_5900
18454_00166 24346_12498_5580
18454_00167 24726_12496_5668
18454_00168 24608_12566_5601
18454_00169 24334_12912_5520
18454_00170 25422_10688_7136
18454_00171 25156_11142_6979
18454_00174 8368_14629_4114
18454_00176 16450_13224_5323
18454_00177 16666_13346_5300
18454_01000 9950_10506_5446
18454_01001 10896_11381_5514
18454_01004 11290_10906_5357
18454_01005 11090_11104_5472
18454_01006 9900_12410_5464
18454_01007 10332_12738_5372
18454_01009 11110_11680_5493
18454_01010 11388_11514_5498
18454_01011 11184_11896_5516
18454_01012 11356_11866_5356
18454_01013 12234_11818_5504
18454_01014 12512_12040_5369
18454_01015 11819_12526_5397
18454_01018 12802_12632_5488
18454_01021 10726_8144_6060
18454_01022 10611_9451_5689
18454_01023 9803_10616_5770
18454_01027 10424_10336_6106
18454_01030 9536_11090_5756
18454_01031 9523_11004_5812
18454_01032 9490_11436_5843
18454_01033 9665_11442_5792
18454_01034 9658_10924_6016
18454_01035 9751_11155_5888
18454_01038 10056_10882_5562
18454_01039 10224_10972_5815
18454_01040 10496_10910_5552
18454_01041 10426_10788_5755
18454_01042 10392_11064_5743
18454_01043 10916_10916_5724
18454_01044 10257_11332_5673
18454_01045 9896_11131_5725
18454_01047 10731_11298_5763
18454_01048 10505_11234_5988
18454_01049 10590_11454_6010
18454_01050 8949_10400_6409
18454_01051 10980_10640_5537
18454_01052 11730_10802_5577
18454_01053 11511_10761_5727
18454_01054 11219_11056_5905
18454_01055 9885_11516_5737
18454_01056 10834_11841_5525
18454_01059 11239_11790_5598
18454_01060 11386_11750_5858
18454_01061 11288_11812_5803
18454_01062 11858_11856_5543
18454_01063 11584_11714_5753
18454_01064 11714_12396_5682
18454_01066 12566_12682_5610
18454_01067 12835_12444_5753
18454_01069 12172_12978_5563
18454_01072 12584_13104_5694
18454_01073 12908_12972_5846
18454_01074 12486_12834_5882
18454_01075 13500_12590_5684
18454_01078 25176_8650_4529
18454_01079 23827_9500_5907
18454_01080 23960_9740_5879
18454_01081 24000_9726_6082
18454_01082 24122_9817_5811
18454_01085 24254_9772_6028
18454_01086 24669_9795_5945
18454_01089 25032_9744_6180
18454_01090 25312_9800_5791
18454_01091 25228_9341_5910
18454_01092 24686_9478_6291
18454_01093 24654_9618_6356
18454_01094 23800_10361_5821
18454_01095 23960_10072_5964
18454_01096 24050_10221_6082
18454_01097 24070_10298_6000
18454_01098 24067_10251_5843
18454_01099 24555_10514_5636
18454_01100 24790_10524_5646
18454_01101 24708_10418_5821
18454_01103 24366_10219_5891
18454_01104 24373_9998_6175
18454_01105 24713_10204_6011
18454_01106 24948_10223_5932
18454_01107 24206_10364_6151
18454_01108 24656_10558_6151
18454_01109 25410_10102_5717
18454_01110 25468_10272_5842
18454_01111 25382_10380_5760
18454_01112 25332_9928_5918
18454_01113 25188_9890_6172
18454_01114 25312_10170_6060
18454_01115 25134_10314_5873
18454_01116 25570_10370_5868
18454_01117 25399_10387_6100
18454_01118 25770_10506_5943
18454_01119 24310_10710_5836
18454_01120 24728_10902_5563
18454_01121 24921_10888_5542
18454_01122 24546_11198_5705
18454_01123 25682_10690_6025
18454_01124 25623_10908_5879
18454_01125 24676_9988_6280
18454_01126 24892_9852_6237
18454_01127 25128_9986_6218
18454_01130 11388_13270_5395
18454_01131 16336_13141_5078
18454_01132 10912_13344_5637
18454_01133 11003_13229_5734
18454_01134 11385_13576_5566
pre_18454_00305 23534_6544_4515
pre_18454_00376 24182_7658_3801
pre_18454_00377 24187_8216_3260
pre_18454_00450 24863_7496_3846
pre_18454_00579 26098_7382_4682
pre_18454_00865 29088_10666_4969
18455_00002 9247_10901_5337
18455_00004 15030_10205_3613
18455_00005 12326_10401_3614
18455_00007 12159_10710_3576
18455_00008 12131_10488_3882
18455_00009 11616_10736_3889
18455_00011 12380_11392_3667
18455_00012 12754_11329_3302
18455_00013 13516_11323_3447
18455_00014 13431_11143_3985
18455_00015 13613_11244_5400
18455_00016 15308_10769_3163
18455_00017 12363_10062_6509
18455_00018 13074_9226_5937
18455_00019 12208_11519_5495
18455_00020 12470_11459_5722
18455_00021 12563_11477_5737
18455_00022 13493_11384_5592
18455_00023 15116_11195_5546
18455_00026 27264_8752_4165
18455_00106 11181_11711_3654
pre_18469_00001 7518_20460_4918
18864_00002 6052_4260_5147
18864_00015 4783_6159_5178
18864_00021 4105_7967_4304
18864_00023 4115_6960_4865
18864_00025 3747_7794_5033
18864_00026 8589_7492_2478
18864_00029 9923_4324_3419
18864_00040 7644_5002_3388
18864_00043 8967_4709_3233
18864_00057 6381_16446_1975
18864_00114 4725_7842_6103
18864_00117 6480_5133_7079
18864_00119 6282_6362_7517
18864_1871_x3272_y21319 3267_21324_1868
18864_1917_x3417_y12763 3416_12754_1925
18864_2047_x3016_y12128 3016_12132_2048
18864_2086_x2903_y21496 2909_21490_2086
18864_2520_x2913_y22642 2917_22637_2512
18864_3015_x3194_y23588 3194_23592_3004
18864_3248_x2473_y15212 2478_15202_3236
18864_3338_x3396_y21865 3393_21866_3336
18864_3473_x2641_y21082 2653_21074_3466
18864_3488_x3691_y22599 3683_22583_3473
18864_3494_x2380_y13749 2375_13740_3496
18864_3772_x5344_y6871 5338_6873_3766
18864_4067_x3464_y21495 3467_21496_4063
18864_4120_x3320_y13563 3318_13561_4121
18864_4157_x3358_y13741 3355_13745_4151
18864_4267_x2794_y21031 2796_21031_4254
18864_4380_x6371_y4940 6372_4940_4379
18864_4429_x7945_y3080 7946_3088_4420
18864_4554_x9386_y2232 9380_2236_4559
18864_4693_x10912_y2095 10904_2102_4688
18864_4760_x3070_y21249 3079_21253_4747
18864_4797_x9453_y2359 9451_2352_4788
18864_5030_x9347_y31359 9373_31359_5015
18864_5099_x6368_y29941 6402_29954_5113
18864_5242_x9483_y31549 9477_31537_5233
18864_5305_x7877_y31450 7877_31440_5299
18864_5444_x7352_y31475 7351_31468_5440
18864_5637_x5637_y31619 4521_7484_6947
18864_5648_x4839_y28849 4835_28835_5632
18864_5692_x8806_y3272 8811_3263_5679
18864_6057_x8520_y2391 8518_2380_6053
18864_6074_x3503_y13192 3507_13189_6061
18864_6104_x9372_y1806 9372_1803_6090
18864_6139_x4843_y27122 4835_27107_6135
18864_6291_x8873_y32149 8865_32148_6287
18864_6321_x4387_y7047 4383_7049_6314
18864_6384_x3409_y13059 3404_13064_6365
18864_6581_x10729_y2199 10726_2197_6587
18864_6733_x9057_y31875 9071_31869_6724
18864_6734_x4899_y27447 4905_27443_6722
18864_6805_x6340_y4681 6336_4682_6798
18864_6821_x5144_y6844 5146_6838_6809
18864_6956_x8154_y30811 8146_30789_6955
pre_18864_00003 2714_22648_2985
pre_18864_00008 3124_20305_5912
pre_18864_00012 3192_24463_4788
pre_18864_00016 3284_24626_4762
pre_18864_00018 3290_8860_5064
pre_18864_00025 3333_11090_2429
pre_18864_00026 3342_24335_3342
pre_18864_00027 3350_24693_4386
pre_18864_00036 3447_10291_3323
pre_18864_00038 3480_11124_3452
pre_18864_00039 3494_21836_6996
pre_18864_00042 3542_12838_6674
pre_18864_00043 3555_10179_3758
pre_18864_00044 3586_25894_3681
pre_18864_00048 3602_9897_6345
pre_18864_00051 3625_24692_4144
pre_18864_00059 3809_11111_3834
pre_18864_00060 3815_25798_5808
pre_18864_00062 3839_9720_2895
pre_18864_00065 3914_7601_4009
pre_18864_00067 3933_25209_4003
pre_18864_00069 3975_24363_2553
pre_18864_00073 4027_27250_5146
pre_18864_00074 4048_9602_3303
pre_18864_00079 4124_25700_5591
pre_18864_00081 4164_24458_2228
pre_18864_00082 4180_25652_3107
pre_18864_00083 4186_8694_6741
pre_18864_00084 4196_9332_4744
pre_18864_00088 4315_24997_6570
pre_18864_00098 4611_9823_7116
pre_18864_00108 4903_5788_4592
pre_18864_00111 4994_5001_4494
pre_18864_00113 5049_28417_4290
pre_18864_00114 5101_27461_3254
pre_18864_00147 5984_4645_6399
pre_18864_00153 6118_25575_2191
pre_18864_00163 6358_3999_6157
pre_18864_00174 6806_7559_2549
pre_18864_00180 7115_3030_6136
pre_18864_00225 10470_3156_3733
pre_18864_00247 5823_8230_2491
pre_18864_00286 3416_10455_3965
pre_18864_00411 2549_19430_2155
pre_18864_00413 2349_19901_2525
pre_18864_00414 2922_20569_1973
pre_18864_00420 4676_20775_1752
pre_18864_00424 5379_25379_2222
pre_18864_00426 2332_19169_2970
pre_18864_00427 2823_18106_3250
pre_18864_00432 3262_23792_3474
pre_18864_00442 4454_27942_4925
pre_18864_00457 3160_20963_5816
182725_5094_x5532_y11642 5509_11620_5113
17788_3709_x6000_y8213 5996_8205_3698
17788_4719_x3512_y9492 3507_9482_4701
17788_5059_x3960_y6601 3960_6602_5047
17788_5767_x16636_y3662 16631_3662_5764
18452_3926_x14445_y21337 14451_21354_3934
18452_4002_x10332_y17479 10323_17464_4013
18452_4126_x15225_y20986 15216_21011_4123
18452_4272_x26686_y20064 26684_20083_4279
18452_4536_x11274_y21067 11298_21084_4533
18452_5511_x26566_y3403 26569_3425_5505
18452_7249_x11408_y2071 11422_2079_7251
18453_1641_x24165_y10580 24149_10575_1630
18453_1674_x14446_y9719 14423_9707_1659
18453_1924_x22284_y8069 22277_8065_1921
18453_2190_x23739_y8507 23746_8491_2186
18453_2400_x15836_y7243 15835_7229_2393
18453_2428_x13810_y8197 13804_8192_2426
18453_2632_x11687_y8383 11682_8386_2610
18453_2645_x28684_y11703 28685_11692_2641
18453_2713_x27713_y9899 27702_9888_2703
18453_2991_x13607_y7348 13594_7345_2988
18453_3186_x12745_y7108 12747_7101_3178
18453_3225_x17398_y19713 17398_19708_3226
18453_3316_x8214_y11076 8205_11074_3303
18453_3326_x29413_y10076 29414_10071_3319
18453_3350_x8925_y9653 8915_9643_3337
18453_3456_x24161_y6646 24147_6634_3449
18453_3471_x28224_y8289 28213_8281_3465
18453_3492_x29357_y9198 29353_9193_3485
18453_3516_x21006_y6048 20991_6034_3504
18453_3564_x30226_y9677 30199_9665_3550
18453_3579_x30397_y10103 30384_10088_3566
18453_3678_x8938_y8684 8928_8675_3667
18453_3690_x8282_y9898 8278_9886_3685
18453_3704_x10450_y7387 10429_7376_3692
18453_3766_x16118_y20931 16117_20933_3762
18453_3767_x22604_y5643 22599_5640_3758
18453_3795_x13584_y5960 13575_5935_3793
18453_3796_x16246_y20830 16240_20827_3795
18453_3810_x16082_y20891 16086_20897_3811
18453_3848_x19057_y7025 19051_7010_3842
18453_3935_x22928_y21885 22928_21886_3938
18453_3945_x11262_y6434 11245_6426_3931
18453_4067_x16924_y5288 16914_5280_4056
18453_4186_x30783_y11697 30775_11699_4184
18453_4221_x16935_y5165 16922_5167_4216
18453_4231_x30739_y8470 30733_8461_4222
18453_4283_x7543_y12923 7537_12927_4276
18453_4283_x7739_y13735 7731_13743_4275
18453_4386_x31552_y9254 31548_9240_4379
18453_4403_x30609_y7732 30600_7709_4398
18453_4496_x31014_y8304 31000_8289_4481
18453_4497_x29287_y7176 29278_7165_4479
18453_4540_x32498_y9442 32490_9435_4528
18453_4693_x33039_y11636 33020_11630_4662
18453_4711_x14090_y3943 14085_3932_4702
18453_4899_x10111_y5917 10100_5913_4881
18453_5033_x32118_y8975 32108_8977_5021
18453_5113_x9557_y5782 9545_5777_5107
18453_5228_x9833_y5221 9820_5214_5221
18453_5308_x10321_y5166 10316_5155_5296
18453_5317_x24548_y3717 24531_3700_5304
18453_5325_x32314_y8395 32315_8382_5323
18453_5343_x23330_y3366 23312_3358_5333
18453_5436_x32746_y12751 32733_12717_5427
18453_5459_x9646_y5477 9635_5467_5446
18453_5535_x29214_y5045 29205_5037_5519
18453_5862_x33046_y12305 33056_12309_5865
18453_5941_x24629_y3152 24613_3145_5926
18453_5995_x24812_y3143 24808_3142_5979
18453_6040_x24821_y3042 24817_3036_6033
18453_6053_x8032_y5933 8030_5932_6045
18453_6181_x10238_y3690 10251_3674_6173
18453_6229_x34471_y10482 34459_10473_6222
18453_6477_x30376_y5078 30365_5061_6470
18453_6537_x8725_y4484 8715_4474_6524
18453_6561_x9442_y3817 9443_3817_6559
18453_6675_x10576_y3102 10568_3090_6668
18453_6675_x8876_y4461 8870_4456_6658
18453_6708_x6437_y7833 6443_7823_6701
18453_6746_x8555_y4741 8549_4735_6730
18453_6748_x28152_y3578 28150_3571_6744
18453_6756_x7677_y5336 28510_4291_5691
18453_6846_x11548_y2831 11553_2827_6841
18453_7007_x11486_y3611 11470_3604_7000
18453_7010_x8769_y4509 8758_4495_6998
18453_7112_x9089_y4667 9085_4666_7104
18453_7132_x11495_y3152 11486_3141_7125
18453_7132_x31679_y7308 31665_7298_7126
18453_7146_x8788_y4552 8785_4551_7143
18453_7188_x11060_y3637 11043_3622_7183
18453_7223_x30215_y5120 30209_5106_7213
18453_7245_x12979_y2864 12972_2862_7231
18453_7304_x11719_y3749 11708_3746_7298
18453_7455_x32866_y9412 32863_9398_7444
17302_00001 16232_15506_3057
17302_00002 16198_15606_2947
17302_00003 16412_15064_3090
17302_00005 17149_16359_2909
17302_00006 17124_15560_3164
17302_00007 17006_15670_3199
17302_00009 17722_15948_3048
17302_00010 18270_16233_3066
17302_00011 17704_15510_3214
17302_00013 18089_15784_3106
17302_00014 19234_16198_2913
17302_00015 18984_15765_3254
17302_00016 20214_16364_3103
17302_00017 16476_14200_4571
17302_00018 14954_17060_3038
17302_00020 14990_21966_4343
17302_00021 15596_22232_4277
17302_00023 15034_27058_4032
17302_00025 16297_30684_3794
17302_00027 18238_16472_2979
17302_00030 18334_17946_2396
17302_00031 18680_17496_2940
17302_00032 19768_17648_2524
17302_00033 18578_20014_2332
17302_00035 17124_20210_5687
17302_00036 17566_19646_5583
17302_00037 18770_19429_4768
17302_00038 18660_19410_5756
17302_00039 19646_19467_5194
17302_00040 19684_20340_5396
17302_00041 20035_20006_5357
17302_00043 20771_18291_3296
17302_00044 21389_18584_2841
17302_00045 20858_19110_2766
17302_00046 22114_18608_3700
17302_00047 23298_20316_3256
17302_00048 20800_20046_4964
17302_00049 20505_20344_5223
17302_00050 18864_21544_2299
17302_00052 18016_20944_5692
17302_00053 17326_21954_4433
17302_00054 16498_22984_4810
17302_00055 21906_21530_2974
17302_00057 22634_21826_2765
17302_00059 21565_23444_2362
17302_00062 22792_23132_3122
17302_00063 23292_24064_3125
17302_00064 21110_20576_4923
17302_00065 21120_20894_4879
17302_00066 20603_20748_5221
17302_00074 15083_35254_2301
17302_00075 14656_40498_2647
17302_00076 15832_38816_5216
17302_00077 16024_38920_5185
17302_00078 16314_39866_4753
17302_00079 16212_40004_5418
17302_00080 16308_40302_5168
17302_00081 12487_41607_2773
17302_00085 13798_42022_3129
17302_00086 14744_41448_2693
17302_00091 16272_41932_2755
17302_00093 14376_42114_2797
17302_00094 14374_42172_2748
17302_00095 14756_42084_2752
17302_00096 14956_42170_2588
17302_00097 14498_42594_2819
17302_00098 16174_42325_2704
17302_00099 13738_43870_4122
17302_00102 21080_36658_2338
17302_00103 22450_36402_3314
17302_00105 17516_37772_1889
17302_00106 19760_37272_2632
17302_00108 17822_40340_2256
17302_00110 18820_39200_2412
17302_00112 16584_38426_4569
17302_00113 16624_38846_4148
17302_00114 16626_39156_4388
17302_00115 16630_39046_4598
17302_00116 16578_39218_4744
17302_00117 17550_40343_4683
17302_00118 17420_40899_5037
17302_00119 18536_38929_5010
17302_00120 19058_39204_4935
17302_00121 18979_39394_4871
17302_00123 20925_37311_2540
17302_00124 19116_41276_2800
17300_3426_x20339_y44872 20324_44799_3426
17300_3514_x19676_y45282 19678_45297_3511
17300_5896_x24862_y27320 24858_27312_5894
17300_6010_x23413_y13446 23416_13453_6050
