s_name o_name
17545_00088 23457_15006_5756
17545_00089 22838_16682_5467
17545_00091 23400_16638_5979
17545_00092 22810_15800_5960
17545_00093 24856_16610_5798
17545_00094 24798_16246_5898
17545_00095 23708_17293_5929
17545_00110 20814_32346_5214
17545_00111 26842_32356_3076
17545_00113 26084_33204_2966
17545_00115 19932_34494_2758
17545_00116 21096_36934_3223
17545_00118 19258_37910_3451
17545_00119 20146_38035_3591
17545_00120 19474_37650_3856
17545_00121 20162_37572_3938
17545_00122 20400_37728_3588
17545_00124 20786_38878_3675
17545_00125 21036_38796_3551
17545_00126 21360_38690_3650
17545_00129 20746_38574_3732
17545_00130 21850_38004_3600
17545_00131 22148_38052_3589
17545_00132 22096_38156_3571
17545_00136 21492_38744_3598
17545_00138 21676_39022_3662
17545_00140 21812_38864_3689
17545_00142 19465_34360_5361
17545_00143 23650_37308_3184
17545_00144 22784_36590_3378
17545_00145 23423_37160_3618
17545_00146 23926_36782_3519
17545_00147 25292_35602_3061
17545_00149 24888_36982_3814
17545_00150 24132_37686_3603
17545_00154 23062_34626_5327
17545_00155 24650_38070_4059
17545_00158 27301_32024_3595
17545_00159 27694_33208_4149
17545_00162 21220_34534_6048
17545_00163 22284_35164_6343
17545_00164 20968_36578_6453
17545_00165 21460_36420_6353
17545_00166 21752_36536_6327
17545_00168 23567_35696_5426
17545_00169 22898_34795_5895
17545_00170 24252_34920_5913
17545_00172 22955_35932_5510
17545_00173 24285_36276_6152
17545_00174 25611_35410_5763
17545_00175 18524_24728_4772
17545_00176 24372_33934_5574
17545_00177 20557_25436_4551
17545_00178 18146_28528_4654
17545_00179 23732_35700_6037
17545_00180 17844_24746_4703
18869_3064_x20999_y7621 20996_7613_3052
18869_3239_x6605_y6691 6605_6690_3238
18869_3263_x6927_y6229 6928_6230_3262
18869_3305_x6812_y6104 6809_6101_3305
18869_3321_x21485_y7678 21481_7668_3321
18869_3395_x6415_y6741 6414_6729_3393
18869_3398_x6248_y7047 6252_7051_3395
18869_3480_x6168_y6983 6169_6979_3480
18869_3482_x7077_y5660 7072_5653_3479
18869_3504_x6554_y5961 6548_5955_3502
18869_3506_x6250_y6810 6246_6809_3504
18869_3547_x21769_y7449 21762_7440_3539
18869_3590_x6132_y6798 6125_6794_3587
18869_3634_x20027_y5437 20018_5423_3630
18869_3634_x5750_y7170 5753_7162_3627
18869_3659_x21701_y7032 21690_7026_3652
18869_3701_x5589_y7633 5586_7624_3696
18869_3701_x7703_y4993 7701_4992_3700
18869_3741_x6284_y6163 6279_6151_3737
18869_3751_x5868_y6832 5864_6817_3745
18869_3761_x5335_y8118 5337_8112_3757
18869_3857_x22137_y7268 22132_7257_3854
18869_3937_x5000_y8198 5013_8190_3932
18869_4001_x4383_y7249 4380_7247_4002
18869_4026_x21667_y6102 21663_6094_4021
18869_4036_x8032_y4635 8030_4636_4030
18869_4050_x21764_y6239 21760_6234_4045
18869_4054_x19963_y5080 19950_5071_4050
18869_4089_x6848_y5110 6847_5112_4089
18869_4091_x4807_y8065 4797_8052_4088
18869_4181_x21056_y5611 21050_5608_4178
18869_4196_x21043_y5510 21043_5516_4176
18869_4253_x4991_y7023 4986_7010_4249
18869_4282_x22276_y6457 22266_6450_4278
18869_4301_x16815_y4413 16813_4408_4297
18869_4301_x20547_y5218 20536_5207_4296
18869_4302_x23433_y9053 23428_9047_4296
18869_4345_x7097_y4738 7095_4736_4339
18869_4347_x8166_y4281 8170_4274_4346
18869_4371_x21382_y5522 21376_5517_4367
18869_4384_x15799_y10704 15786_10695_4381
18869_4410_x8772_y3996 8778_3995_4403
18869_4419_x16667_y10498 16662_10494_4412
18869_4426_x7611_y4421 7616_4412_4419
18869_4468_x23035_y7089 23027_7081_4461
18869_4469_x21852_y5924 21843_5917_4463
18869_4520_x23555_y8194 23547_8187_4514
18869_4550_x17965_y4177 17960_4177_4552
18869_4550_x7203_y4574 7208_4570_4543
18869_4587_x23021_y6827 23009_6822_4583
18869_4599_x7153_y3640 7158_3642_4598
18869_4625_x5853_y5391 5851_5390_4622
18869_4629_x8451_y4031 8451_4026_4630
18869_4722_x18329_y4110 18333_4104_4721
18869_4764_x5211_y5995 5208_5983_4759
18869_4837_x18229_y3163 18231_3163_4842
18869_4883_x18883_y4120 18870_4115_4881
18869_4953_x22613_y6076 22596_6070_4946
18869_4997_x13063_y4444 13051_4431_4994
18869_5019_x5442_y5910 5446_5905_5016
18869_5033_x23046_y6158 23031_6152_5030
18869_5108_x7688_y4065 7687_4066_5102
18869_5123_x17555_y3609 17554_3607_5121
18869_5126_x8617_y7685 8619_7708_5109
18869_5213_x7186_y4274 7192_4267_5211
18869_5237_x7485_y4162 7483_4165_5237
18869_5286_x15761_y3297 15763_3287_5280
18869_5317_x6063_y4638 6050_4634_5308
18869_5343_x5414_y5337 5414_5328_5334
18869_5393_x8284_y3671 8275_3665_5381
18869_5418_x23277_y4971 23273_4968_5414
18869_5431_x21494_y4633 21494_4629_5420
18869_5444_x13271_y3998 13274_3999_5444
18869_5482_x15126_y4142 15129_4142_5478
18869_5553_x7275_y3994 7265_3989_5546
18869_5571_x8792_y4549 8790_4550_5569
18869_5684_x13521_y3699 13506_3692_5677
18869_5694_x15073_y4098 15065_4092_5681
18869_5705_x4706_y6107 4705_6108_5699
18869_5754_x7159_y3959 7163_3956_5747
18869_5802_x13547_y4406 13452_4387_5798
18869_5980_x7654_y3517 7657_3518_5976
18869_6076_x17177_y3306 17174_3304_6074
18869_6291_x15236_y3478 15244_3467_6286
18869_6454_x17703_y2478 17699_2469_6449
18869_6732_x9649_y3919 9642_3917_6730
18869_7121_x17742_y2862 17736_2848_7113
18869_7358_x8916_y4859 8913_4853_7352
18470_3227_x19287_y16117 19291_16120_3223
18470_3582_x22459_y29708 22457_29711_3581
18470_4630_x23468_y24795 23461_24792_4629
18464_00004 5200_11450_4880
18464_00009 9767_10404_3380
18464_00010 9473_10904_3775
18464_00016 11371_11255_3695
18464_00029 8508_11740_6867
18464_00031 9622_9702_6232
18464_00042 9229_12593_5652
18464_00044 9937_12553_5563
18464_00045 10212_12430_5716
18464_00047 9199_11558_5870
18464_00048 9117_12066_5983
18464_00049 9571_12009_5872
18464_00052 9071_12361_5930
18464_00061 22331_12272_4097
18464_00074 23068_11543_5502
18464_00075 23214_12746_5348
18464_00076 23204_12934_5500
18464_00079 24571_11958_6265
18464_00080 24485_12644_6168
18464_00081 7166_13375_3802
18464_00082 6370_16279_3911
18464_00085 5960_14741_4151
18464_00086 7916_16307_4262
18464_00088 6209_17589_4410
18464_00102 11508_15444_5095
18464_00108 8851_18664_3904
18464_00112 10709_20710_3810
18464_00119 10433_13470_5742
18464_00122 9237_14261_5766
18464_00124 9909_14157_5305
18464_00127 10593_14248_5485
18464_00129 9959_14084_5627
18464_00132 11069_13729_6169
18464_00133 9540_14962_5762
18464_00139 19620_15650_5214
18464_00141 25471_14773_3612
18464_00143 23215_13879_5162
18464_00153 24242_17269_4241
18464_00155 21959_18532_3960
18464_00163 26621_16066_4101
18464_00169 26781_16940_4092
18464_00183 24048_13517_5264
18464_00184 23824_13799_5501
18464_00191 8570_10902_7082
18464_00194 9112_10679_6977
18464_00196 21907_10255_5517
18464_00197 22312_10416_5448
18464_00198 23248_10070_5608
pre_18464_00077 7787_12198_4686
pre_18464_00086 9877_12003_3593
pre_18464_00087 11126_12320_3507
pre_18464_00099 10644_6734_5991
pre_18464_00102 14206_8278_5538
pre_18464_00103 14081_8286_5748
pre_18464_00138 22914_7130_5640
pre_18464_00159 7053_17752_3965
pre_18464_00163 11559_14797_3326
pre_18464_00168 11995_16098_4156
pre_18464_00169 11989_16432_4129
pre_18464_00182 13106_19855_3155
18458_00049 13021_9406_5887
18458_00050 13082_9445_5872
18458_00051 13526_9349_6009
18458_00053 14156_9279_5822
18458_00056 12502_10088_6085
18458_00057 12442_10189_6060
18458_00069 12482_10974_6376
18458_00083 12778_10033_6286
18458_00086 13828_10405_6128
18458_00101 12344_11201_6305
18458_00102 12271_11134_6395
18458_00114 13262_12119_5398
18458_00119 13741_12365_5698
18458_00121 15187_12664_5461
18458_00122 13961_12059_5668
18458_00125 13427_11734_5820
18458_00148 15982_10413_5654
18458_00236 29473_10261_5704
18458_00239 28520_10767_5728
18458_00241 29759_10468_5687
18458_00242 29653_11032_5792
18458_00244 30145_10920_5748
18458_00249 29692_10136_5937
18458_00250 29373_10285_6176
18458_00264 29978_10700_6077
18458_00267 29318_10622_6331
18458_00268 27765_12458_5484
18458_00269 27704_12493_5579
18458_00273 27943_12594_5395
18458_00277 28138_12296_5660
18458_00280 28443_12299_5651
18458_00281 28802_12556_5577
18458_00302 30225_11170_6186
18458_00306 29045_12385_5838
